,city,area_code,account_length,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,customer_service_calls,churn,phone_num,which_plan
3,Orlando1,321,21,no,yes,31,135.9,90,23.1,271.0,84,23.04,179.1,89,8.06,6,0,5976,Voicemail only
6,Orlando1,321,25,no,no,0,119.3,87,20.28,211.5,101,17.98,268.9,86,12.1,3,0,2709,No plan
14,Orlando1,321,37,no,no,0,191.4,116,32.54,167.4,99,14.23,216.5,112,9.74,3,0,1131,No plan
21,Orlando1,321,46,no,no,0,199.2,111,33.86,175.1,83,14.88,210.6,84,9.48,3,0,5873,No plan
25,Orlando1,321,50,no,no,0,188.9,94,32.11,203.9,104,17.33,151.8,124,6.83,3,0,6002,No plan
27,Orlando1,321,52,no,no,0,129.3,80,21.98,142.7,101,12.13,258.3,89,11.62,3,0,9674,No plan
28,Orlando1,321,52,no,no,0,191.9,108,32.62,269.8,96,22.93,236.8,87,10.66,3,0,4957,No plan
31,Orlando1,321,53,no,yes,24,145.7,146,24.77,220.5,136,18.74,249.9,96,11.25,3,0,3261,Voicemail only
45,Orlando1,321,63,no,no,0,211.8,84,36.01,230.9,137,19.63,217.1,99,9.77,3,0,6725,No plan
48,Orlando1,321,64,no,no,0,213.5,93,36.3,166.6,114,14.16,122.0,78,5.49,3,0,6391,No plan
55,Orlando1,321,65,no,yes,34,208.8,119,35.5,142.1,106,12.08,214.6,87,9.66,4,0,4680,Voicemail only
59,Orlando1,321,68,no,no,0,131.6,89,22.37,137.0,109,11.65,256.3,107,11.53,3,0,7091,No plan
62,Orlando1,321,69,no,no,0,143.6,88,24.41,141.8,86,12.05,194.0,83,8.73,3,0,6149,No plan
63,Orlando1,321,69,no,no,0,183.4,85,31.18,237.6,100,20.2,228.0,94,10.26,3,0,4278,No plan
64,Orlando1,321,70,no,no,0,104.7,112,17.8,82.2,104,6.99,169.4,110,7.62,3,0,2175,No plan
71,Orlando1,321,72,no,yes,37,220.0,80,37.4,217.3,102,18.47,152.8,71,6.88,3,0,1407,Voicemail only
76,Orlando1,321,74,no,yes,27,154.1,122,26.2,195.3,150,16.6,276.7,86,12.45,4,0,5954,Voicemail only
80,Orlando1,321,75,no,yes,21,175.8,97,29.89,217.5,106,18.49,237.5,134,10.69,5,0,8525,Voicemail only
81,Orlando1,321,75,no,yes,24,225.5,119,38.34,182.0,108,15.47,270.9,106,12.19,3,0,4171,Voicemail only
87,Orlando1,321,78,no,no,0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,3,0,9510,No plan
102,Orlando1,321,86,no,no,0,194.2,98,33.01,193.8,95,16.47,192.0,123,8.64,3,0,1019,No plan
103,Orlando1,321,86,no,yes,33,253.1,112,43.03,210.1,94,17.86,95.0,98,4.27,3,0,3852,Voicemail only
105,Orlando1,321,87,no,no,0,223.2,109,37.94,127.5,86,10.84,289.3,83,13.02,3,0,2799,No plan
114,Orlando1,321,89,no,no,0,111.2,101,18.9,122.1,94,10.38,180.8,85,8.14,3,0,3399,No plan
135,Orlando1,321,96,no,yes,45,248.8,124,42.3,140.3,77,11.93,263.6,102,11.86,3,0,9187,Voicemail only
138,Orlando1,321,97,no,yes,43,121.1,105,20.59,260.2,115,22.12,222.4,100,10.01,3,0,1242,Voicemail only
150,Orlando1,321,101,no,no,0,232.7,114,39.56,186.4,123,15.84,153.3,122,6.9,5,0,2985,No plan
151,Orlando1,321,101,no,no,0,248.6,102,42.26,174.9,93,14.87,207.2,86,9.32,3,0,7234,No plan
157,Orlando1,321,102,no,no,0,200.6,106,34.1,152.5,127,12.96,199.4,128,8.97,3,0,7839,No plan
158,Orlando1,321,102,no,no,0,242.2,88,41.17,233.2,89,19.82,188.5,121,8.48,3,0,2726,No plan
160,Orlando1,321,103,no,no,0,204.9,107,34.83,135.2,102,11.49,208.2,106,9.37,5,0,6960,No plan
