,city,area_code,account_length,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,customer_service_calls,churn,phone_num,which_plan
1,Orlando1,321,11,no,yes,38,209.8,130,35.67,196.6,84,16.71,233.0,79,10.49,1,0,4310,Voicemail only
2,Orlando1,321,12,yes,no,0,216.7,117,36.84,116.5,126,9.9,220.0,110,9.9,2,0,5211,International only
5,Orlando1,321,22,no,no,0,207.7,116,35.31,210.6,99,17.9,238.2,88,10.72,0,0,2401,No plan
7,Orlando1,321,27,no,no,0,227.4,67,38.66,248.0,115,21.08,61.4,109,2.76,1,0,1589,No plan
9,Orlando1,321,29,no,no,0,196.8,81,33.46,168.0,110,14.28,132.6,98,5.97,2,0,6666,No plan
14,Orlando1,321,37,no,no,0,191.4,116,32.54,167.4,99,14.23,216.5,112,9.74,3,0,1131,No plan
19,Orlando1,321,43,no,no,0,241.9,101,41.12,129.4,121,11.0,264.8,104,11.92,1,0,2849,No plan
21,Orlando1,321,46,no,no,0,199.2,111,33.86,175.1,83,14.88,210.6,84,9.48,3,0,5873,No plan
28,Orlando1,321,52,no,no,0,191.9,108,32.62,269.8,96,22.93,236.8,87,10.66,3,0,4957,No plan
35,Orlando1,321,55,no,yes,20,207.7,91,35.31,199.7,113,16.97,216.5,110,9.74,1,0,6912,Voicemail only
36,Orlando1,321,56,no,no,0,253.2,95,43.04,188.0,116,15.98,142.0,133,6.39,1,0,3622,No plan
38,Orlando1,321,57,yes,yes,30,234.5,130,39.87,195.2,116,16.59,268.8,94,12.1,2,0,3782,International & Voicemail 
43,Orlando1,321,60,no,yes,31,191.8,75,32.61,267.8,135,22.76,200.5,62,9.02,2,0,4231,Voicemail only
45,Orlando1,321,63,no,no,0,211.8,84,36.01,230.9,137,19.63,217.1,99,9.77,3,0,6725,No plan
48,Orlando1,321,64,no,no,0,213.5,93,36.3,166.6,114,14.16,122.0,78,5.49,3,0,6391,No plan
49,Orlando1,321,64,no,no,0,219.6,126,37.33,303.3,100,25.78,154.5,65,6.95,1,0,7728,No plan
54,Orlando1,321,65,no,no,0,195.4,110,33.22,181.2,109,15.4,178.5,105,8.03,0,0,8878,No plan
