city,area_code,account_length,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,customer_service_calls,churn,phone_num
Orlando1,321,1,no,no,0,182.1,106,30.96,134.9,106,11.47,152.3,75,6.85,5,1,4254
Orlando1,321,11,no,yes,38,209.8,130,35.67,196.6,84,16.71,233,79,10.49,1,0,4310
Orlando1,321,12,yes,no,0,216.7,117,36.84,116.5,126,9.9,220,110,9.9,2,0,5211
Orlando1,321,21,no,yes,31,135.9,90,23.1,271,84,23.04,179.1,89,8.06,6,0,5976
Orlando1,321,22,no,no,0,181.8,108,30.91,198.6,148,16.88,206.6,96,9.3,2,0,9506
Orlando1,321,22,no,no,0,207.7,116,35.31,210.6,99,17.9,238.2,88,10.72,0,0,2401
Orlando1,321,25,no,no,0,119.3,87,20.28,211.5,101,17.98,268.9,86,12.1,3,0,2709
Orlando1,321,27,no,no,0,227.4,67,38.66,248,115,21.08,61.4,109,2.76,1,0,1589
Orlando1,321,28,no,no,0,180.8,109,30.74,288.8,58,24.55,191.9,91,8.64,2,0,8230
Orlando1,321,29,no,no,0,196.8,81,33.46,168,110,14.28,132.6,98,5.97,2,0,6666
Orlando1,321,33,no,yes,29,157.4,99,26.76,117.9,80,10.02,279.2,79,12.56,4,1,2558
Orlando1,321,35,no,no,0,138.1,115,23.48,158.2,82,13.45,215.7,118,9.71,5,1,8762
Orlando1,321,36,no,no,0,117.1,94,19.91,235.4,117,20.01,221.3,108,9.96,0,0,3540
Orlando1,321,36,no,no,0,177.9,129,30.24,224.6,87,19.09,306.3,102,13.78,2,0,5474
Orlando1,321,37,no,no,0,191.4,116,32.54,167.4,99,14.23,216.5,112,9.74,3,0,1131
Orlando1,321,39,no,no,0,154.1,104,26.2,204.2,112,17.36,196.2,92,8.83,2,0,5640
Orlando1,321,40,no,no,0,81.7,123,13.89,210.2,108,17.87,212,64,9.54,6,1,7114
Orlando1,321,40,no,no,0,169.7,115,28.85,141.4,123,12.02,253,115,11.39,4,1,8417
Orlando1,321,43,no,no,0,168.4,125,28.63,243.8,89,20.72,214.7,102,9.66,1,0,4949
Orlando1,321,43,no,no,0,241.9,101,41.12,129.4,121,11,264.8,104,11.92,1,0,2849
Orlando1,321,45,no,no,0,78.2,127,13.29,253.4,108,21.54,255,100,11.48,1,0,1040
Orlando1,321,46,no,no,0,199.2,111,33.86,175.1,83,14.88,210.6,84,9.48,3,0,5873
Orlando1,321,46,no,no,0,250.3,100,42.55,260.6,90,22.15,195,104,8.78,2,1,5979
Orlando1,321,48,no,no,0,190.4,92,32.37,317.5,85,26.99,133.4,113,6,2,0,9217
Orlando1,321,49,no,no,0,266.3,90,45.27,207.8,117,17.66,205,98,9.23,2,1,4520
Orlando1,321,50,no,no,0,188.9,94,32.11,203.9,104,17.33,151.8,124,6.83,3,0,6002
Orlando1,321,51,no,no,0,169.3,111,28.78,139.5,69,11.86,197,87,8.87,0,0,4844
Orlando1,321,52,no,no,0,129.3,80,21.98,142.7,101,12.13,258.3,89,11.62,3,0,9674
Orlando1,321,52,no,no,0,191.9,108,32.62,269.8,96,22.93,236.8,87,10.66,3,0,4957
Orlando1,321,52,no,yes,20,133.3,63,22.66,184.1,123,15.65,272.9,107,12.28,1,0,6672
Orlando1,321,53,no,no,0,228.6,117,38.86,132.8,123,11.29,227.2,124,10.22,9,1,6886
Orlando1,321,53,no,yes,24,145.7,146,24.77,220.5,136,18.74,249.9,96,11.25,3,0,3261
Orlando1,321,54,no,no,0,159.8,99,27.17,264,64,22.44,115.7,70,5.21,2,0,1420
Orlando1,321,54,no,no,0,272.6,83,46.34,248.7,74,21.14,197.4,111,8.88,1,1,5453
Orlando1,321,54,no,no,0,286.6,73,48.72,223.2,108,18.97,203.7,107,9.17,1,1,6853
